# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(1352802193/258064,50037778839225/131096512)
(2171812504/390625,101691818171883/244140625)
(1680788596/889249,76785763135317/838561807)
(-498217814/751689,23865863740507/651714363)
(-109117016/793881,28554480789391/707347971)
(847087243/724201,35039624887902/616295051)
(984377641/1764,30884644946933/74088)
(-898717546/790321,8934891372959/702595369)
(1350601792/321489,50178688959491/182284263)
(985550563/758641,40864844956122/660776311)
(-947169022/808201,3452404641493/726572699)
(-689220578/859329,26614777784759/796597983)
(-333249527/553536,15486115222043/411830784)
(1234205816/664225,48562766158261/541343375)
(1868890094/14641,80793386741839/1771561)
(1735071802/199809,72363036558689/89314623)
(-1081382972/927369,6099526165465/893056347)
(1940754182/27889,85498175621281/4657463)
(-1716510098/1723969,57493159447959/2263571297)
(1041285289/266256,34056545087339/137388096)
(3229144666/330625,183658633279839/190109375)
(1614036404/534361,66736745243761/390617891)
(-1586093762/1874161,82186242614577/2565726409)
(-631499663/675684,15864082970921/555412248)
(1734185344/497025,73592064102203/350402625)
(24222874/1147041,49631402902481/1228480911)
(1982866819/483025,89331409884378/335702375)
(2195328592/9,102860658560249/27)
(1366024649/33856,50488585053701/6229504)
(-257904866/2076481,120815811532791/2992209121)
(3882504706/7225,241917891429021/614125)
(173609494/1199025,53092443653153/1312932375)
(1316431513/1069156,65392311235107/1105507304)
(2220972854/46225,104668999039183/9938375)
(2555156998/1437601,146736458841033/1723683599)
(2242091104/95481,106171329166271/29503629)
(2281672426/45369,108989014939507/9663597)
(2321527706/20449,111856454345137/2924207)
(2240100736/205209,106089797336113/92959677)
(2690559097/12544,139560925010739/1404928)
(-2204750138/2140369,72713761967601/3131359847)
(1092710452/1185921,63459007795045/1291467969)
(4327012978/82369,284632666592175/23639903)
(4541406064/126025,306050488606887/44738875)
(-949706071/846400,11537508720533/778688000)
(2756665418,144735840400127)
(-1103912696/1461681,61253123918579/1767172329)
(1856231513/80656,79979242507357/22906304)
(2908218169/568516,157787357128461/428661064)
(-676253831/1040400,39100640607053/1061208000)
(5225516794/421201,377902187212359/273359449)
(-2676988436/2825761,132831278417451/4750104241)
(2044822817/38416,92466809733425/7529536)
(2436833146/1034289,127578285442423/1051871913)
(-167116084/1803649,97838339959643/2422300607)
(3274919734/145161,187426870520419/55306341)
(1991584969/1612900,121441154314203/2048383000)
(-157441471/1144900,49452924044417/1225043000)
(-367464466/1890625,104789065190423/2599609375)
(2456769358/1279161,135072607949963/1446731091)
(-312464884/1951609,110009299724447/2726397773)
