# Lists of S-integral points (x,y) on the Mordell curves
# y^2 = x^3 + a, with the following constraints:
# we consider only curves of rank r = 2,
# a is bounded by |a| <= 10000,
# S is the set of the first 300 primes.
# It contains 3426 curves in total.
# It contains 37852 points in total.
# For each point P, only one of +P, -P is listed.
# Format of the points: "(P(x),P(y))".
# Computing this list took 559268 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a = -9989:
#
(22344968719474/79481705625,105602952763087407118/22407879858328125)
#
# a = -9566:
#
(23,51)
(84855/961,24545827/29791)
(226665/1156,107845237/39304)
(766673/11236,661113639/1191016)
(10098209/350464,24859151025/207474688)
(984248511/29866225,26431869708991/163218919625)
(389497840255/480004281,243082499293368487/10516413792429)
(3159473776300433/7867778161936,177578364986793378324921/22068771561991354816)
(57608599604276393265/2316000863249943076,268985116470180280707642952297/3524585704313393151207318824)
#
# a = -9559:
#
(22,33)
(44,275)
(55,396)
(130,1479)
(440,9229)
(92,877)
(3622,217983)
(8833/324,603361/5832)
(14696/625,916619/15625)
(38434/1225,6261123/42875)
(12265/576,135179/13824)
(10459/361,833310/6859)
(447403/1849,299158794/79507)
(1419286/1369,1690841955/50653)
(14971066/24025,57925595739/3723875)
(9425977/30276,28934818957/5268024)
(8209760/243049,20398405297/119823157)
(77509520/703921,679942491349/590589719)
(116083330/3200521,1118427446301/5725732069)
(100568732/1413721,995063056537/1680914269)
(19668680/769129,57094304207/674526133)
(66984481/338724,547889187025/197137368)
(213808159/3115225,3079776349548/5498372125)
(27012742570/1107358729,2594378226777843/36849576424933)
(11759093050/517699009,547444329660183/11779205551777)
(61601304908/1658688529,13789039457470981/67553407720583)
(222520083643/1378859689,104847814356416406/51201196831637)
(32815525408963/1264560973729,126521489602198796886/1422032958104551183)
(1741260409777856/44097369142225,66781649512460841026629/292832328065322201625)
(5510509790754961/111413513667600,392569421869175166122041/1175998604275071576000)
(931583114755734132824/3594029184098325025,28425832177142788269022260151043/6813533554024577924465687375)
(11383575314988181648090/7470849586244253049,1214555712866451962526089042706453/20419964794466469213452718157)
#
# a = -9541:
#
(25,78)
(255425/2704,128358049/140608)
(560371345/3211264,13253287912761/5754585088)
(12223145089/555309225,438638359382938/13085861887125)
(2964436752601/35278230625,5062827891731070474/6626133667140625)
(18424653924889/563190211600,67455366542367480963/422651726197336000)
#
# a = -9531:
#
(355,6688)
(337/4,6137/8)
(14071/361,1528910/6859)
(1036207/3249,1054644218/185193)
(15909368665/178917376,1993038085193437/2393198821376)
(14542434625/602604304,994911639037921/14792730454592)
(90934398955/4273629129,2831567768291996/279379957050117)
#
# a = -9512:
#
(122,1344)
(209/4,2919/8)
(426,8792)
(197242/8649,38979640/804357)
(813977/1444,734356035/54872)
(1602897/50176,1707831719/11239424)
(67362266/2235025,446619986064/3341362375)
(325098873/15147664,1139740998733/58954708288)
(2060372217/19324816,93155295331981/84951891136)
(296410285289/11500846564,107575880875303029/1233373787216488)
(2586312316314/45200035609,4052342651412281464/9609663170580227)
(71353656259924155137/869991114185192164,597513631420433917054028495745/811469545446035057001499288)
(701527514335922354329/3285349320336627600,18571834843202548226076708323267/5954870620814938653785976000)
#
# a = -9507:
#
(2683/81,119420/729)
(281023/4761,145490590/328509)
(49707289/108900,350435752163/35937000)
(21921193561/916272900,1794604266626941/27735580683000)
(160263163258489/4620608193600,1782800580560195827763/9932274548634816000)
(8543468342327628240169/403114094310670016400,28729306872978055374595918682197/8093604423763353309425703288000)
(6109807130584046147879814889441/53493952261247116778184656400,15053976690311812224722558052287438125542887761/12372487641915553709421636614858209783512000)
#
# a = -9505:
#
(29,122)
(26401,4289736)
(39841/1444,5883951/54872)
(2912441/59536,4764285779/14526784)
(14738401/481636,46254949839/334255384)
(220493881/4141225,3169356163596/8427392875)
(26829973235641/594374695849,131596407547356116676/458237332387657493)
(608077235420749/1406351694609,14993829998352778569598/1667788255581729273)
#
# a = -9499:
#
(4631/169,231230/2197)
(242755/3249,118236068/185193)
(793697/5476,705998257/405224)
(2158583386422089/36143903520400,98027341423784201344187/217296425086574392000)
(4105425307220939672665/181681062018203709504,110589883571489684828871568321117/2448863001953006817963459691008)
(406747263525378106847105/10917688235781681425296,234376106014405551161846803142633281/1140764592009828273580661252942656)
#
# a = -9492:
#
(22,34)
