# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 9416 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 1490 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(449152,-302743936)
(449152,302743936)
(-85184,-20614528)
(92928,-36799488)
(92928,36799488)
(-61952,17718272)
(-61952,-17718272)
(60016,-26630648)
(63888,25299648)
(63888,-25299648)
(-11616,16099776)
(170368,-72150848)
(170368,72150848)
(-11616,-16099776)
(-63888,0)
(159808,-65618432)
(159808,65618432)
(-15488,-11585024)
(-15488,11585024)
(30976,-12947968)
(263296,135612928)
(263296,-135612928)
(726727936,19591053143552)
(-46464,0)
(42592,-13118336)
(42592,13118336)
(-15488,-6814720)
(-15488,6814720)
(5808,-6899904)
(5808,6899904)
(14641,-6925193)
(-21296,-3748096)
(-21296,3748096)
(-23232,0)
(-15488,2214784)
(23232,-4599936)
(-15488,-2214784)
(23232,4599936)
(7744,2663936)
(7744,-2663936)
(-17303,863819)
(42592,9018856)
(39952,8202304)
(7744,-1618496)
(181681984,-2448881642944)
(-3872,-1448128)
(-3872,1448128)
(65824,-16951616)
(7744,1618496)
(181681984,2448881642944)
(65824,16951616)
(-11616,0)
(7936,-1280512)
(-9152,332288)
(-9152,-332288)
(-3872,-851840)
(-3872,851840)
(46464,10036224)
(46464,-10036224)
(174361,-72809693)
(-5808,0)
(1936,-332992)
(-4224,0)
(92224,-28007936)
(92224,28007936)
(14848,-1819648)
(-2816,-123904)
(14848,1819648)
(-2816,123904)
(1936,202312)
(45420496,-306110205368)
(1984,160064)
(1984,-160064)
(-2288,41536)
(2112,-152064)
(2112,152064)
(-384,-96768)
(-384,96768)
(5632,433664)
(-2112,0)
(11616,-1254528)
(11616,1254528)
(1408,-78848)
(1408,78848)
(192,-41472)
(192,41472)
(-1056,0)
(2497,-128161)
(23056,-3500992)
(-704,-22528)
